name,time
Pool Nation,3.5200000000000005
Port Royale 3,16.30909090909091
Portal,5.474340527577938
Portal 2,20.126048565121415
Portal Stories Mel,5.3625
Post Apocalyptic Mayhem,4.1000000000000005
Primal Carnage,24.46190476190476
Prince of Persia The Sands of Time,2.5733333333333333
Prison Architect,26.801020408163264
Pro Evolution Soccer 2015,208.375
Project CARS,14.129166666666668
Project Zomboid,11.737837837837839
Proteus,0.4454545454545455
Prototype,17.415
Psychonauts,5.157142857142857
Quake Live,3.655844155844156
Quantum Conundrum,5.318181818181818
R.U.S.E,34.31351351351351
RACE 07,9.067499999999999
RAGE,18.3
RIFT,41.51466666666666
RPG Maker VX Ace,18.489655172413794
Race The Sun,3.2319999999999998
RaceRoom Racing Experience ,6.546296296296297
Racer 8,2.31
Ragnarok Online 2,52.67391304347826
RaiderZ,2.67
Rayman Legends,21.085714285714285
Rayman Origins,12.059999999999999
Really Big Sky,1.4952380952380953
Realm of the Mad God,10.575
Rebel Galaxy,10.98
Recettear An Item Shop's Tale,13.45625
Red Crucible Firestorm,2.5760869565217392
Red Faction Armageddon,5.753061224489795
Red Faction Guerrilla Steam Edition,9.544186046511628
Red Orchestra 2 Heroes of Stalingrad - Single Player,2.546153846153846
Red Orchestra Ostfront 41-45,26.35483870967742
Reign Of Kings,37.20625
Relic Hunters Zero,4.0227272727272725
Remember Me,5.976
Resident Evil / biohazard HD REMASTER,8.090909090909092
Resident Evil 5 / Biohazard 5,8.859375
Resident Evil 6 / Biohazard 6,21.564102564102566
Resident Evil Revelations / Biohazard Revelations,6.261111111111111
Resident Evil Revelations 2 / Biohazard Revelations 2,9.785714285714286
Return to Castle Wolfenstein,28.40909090909091
Reus,4.312244897959184
Revenge of the Titans,3.3466666666666662
Revolution Ace,1.6300000000000001
Ricochet,1.0095238095238095
Rise of Incarnates,0.9333333333333333
Rise of Nations Extended Edition,9.215384615384615
Rise of the Triad,2.1
Risen,13.46923076923077
Risen 2 - Dark Waters,19.662857142857145
Rising Storm/Red Orchestra 2 Multiplayer,19.705128205128204
Risk of Rain,11.046666666666667
Robocraft,22.35036855036855
Robot Roller-Derby Disco Dodgeball,4.2700000000000005
Rochard,2.3153846153846156
Rock of Ages,2.035
Rocket League,52.531543624161074
Rocksmith 2014,69.256
Rogue Legacy,13.76031746031746
RollerCoaster Tycoon 3 Platinum!,18.804761904761907
RollerCoaster Tycoon Deluxe,13.206249999999999
Rome Total War,38.65483870967742
Rome Total War - Alexander,10.044444444444444
Rust,73.79371980676328
Ryse Son of Rome,10.405263157894737
S.K.I.L.L. - Special Force 2,5.536111111111111
S.T.A.L.K.E.R. Call of Pripyat,19.5
S.T.A.L.K.E.R. Clear Sky,19.466666666666665
S.T.A.L.K.E.R. Shadow of Chernobyl,13.910810810810812
SEGA Genesis & Mega Drive Classics,5.082608695652174
SMITE,7.828749999999999
SOMA,10.807692307692308
STAR WARS Knights of the Old Republic II The Sith Lords,21.160416666666666
Sacred 2 Gold,2.0333333333333337
Saints Row 2,27.107017543859648
Saints Row IV,19.868217054263567
Saints Row The Third,25.14771573604061
Sakura Clicker,10.323913043478262
Sakura Spirit,2.972727272727273
Sanctum,3.441025641025641
Sanctum 2,5.735849056603773
Sang-Froid - Tales of Werewolves,4.17
Savage Lands,3.7769230769230764
School of Dragons How to Train Your Dragon,3.625
Scribblenauts Unlimited,8.267164179104478
Section 8 Prejudice,4.7
Serious Sam 2,2.9153846153846152
Serious Sam 3 BFE,12.202739726027398
Serious Sam HD The First Encounter,3.606896551724138
Serious Sam HD The Second Encounter,8.62566371681416
Shadow Warrior,6.003125
Shadowgrounds,5.047058823529412
Shadowrun Dragonfall - Director's Cut,14.076470588235296
Shadowrun Returns,11.610000000000001
Shank,2.60625
Shank 2,4.971428571428571
Shatter,2.572222222222222
Shattered Horizon,5.233333333333333
Shovel Knight,11.907142857142857
Sid Meier's Civilization Beyond Earth,46.337704918032784
Sid Meier's Civilization III Complete,29.669565217391302
Sid Meier's Civilization IV,18.73658536585366
Sid Meier's Civilization IV Beyond the Sword,125.49600000000001
Sid Meier's Civilization IV Colonization,3.3058823529411767
